;;Logradouro;;;;;;;
Localidade;Logradouro;CEP;Bairro;Tipo Codificação;Numero Inicial;Número Final;Trecho;Lado;Legendas
Guarabira;Rua Ailton Anacleto Gomes Junior;58201-174;Primavera;Simples;;;;;
Guarabira;Rua Alcides Carneiro;58203-008;Clotilde Coutinho;Simples;;;;;
Guarabira;Rua Alcides Coelho de Araújo;58201-706;Mutirão;Simples;;;;;
Guarabira;Rua Alcides Leite de Andrade;58200-639;Sol Nascente;Simples;;;;;
Guarabira;Rua Alfredo Fernandes da Costa;58200-450;Novo;Simples;;;;;
Guarabira;Rua Alípio Antônio de Souza;58201-428;Areia Branca;Simples;;;;;
Guarabira;Rua Almeida Barreto;58200-054;Centro;Simples;;;;;
Guarabira;Rua Amália Coelho;58200-094;Centro;Seccionamento;1;399;I;A;
Guarabira;Rua Amália Coelho;58200-240;Juá;Seccionamento;400;9998;F;A;
Guarabira;Rua Amaro Guedes;58203-404;Nordeste II;Simples;;;;;
Guarabira;Rua Américo Pinheiro de Brito;58201-572;Osmar de Aquino;Simples;;;;;
Guarabira;Rua Américo Soares;58204-621;Nações;Simples;;;;;
Guarabira;Rua Ana Araújo Brito;58200-004;Centro;Simples;;;;;
Guarabira;Rua Ana Batista de Bulhões;58201-189;Primavera;Simples;;;;;
Guarabira;Rua Ana Gomes;58203-529;Nordeste I;Simples;;;;;
Guarabira;Rua Ana Guedes Dantas;58200-060;Centro;Simples;;;;;
Guarabira;Rua Analice Santos do Nascimento;58200-258;Juá;Simples;;;;;
Guarabira;Rua Anísio Travassos;58200-304;Bela Vista;Simples;;;;;
Guarabira;Rua Antonieta Montenegro Mendes;58200-178;Santa Terezinha;Simples;;;;;
Guarabira;Rua Antônio Ailton Batista Ribeiro;58204-668;Monte das Oliveiras;Simples;;;;;
Guarabira;Rua Antônio Amaral Leite;58200-362;Cordeiro;Simples;;;;;
Guarabira;Rua Antônio André;58200-042;Centro;Simples;;;;;
Guarabira;Rua Antônio Basílio Alves;58203-478;Hidelbrando Matias;Simples;;;;;
Guarabira;Rua Antônio Bezerra;58200-196;Santa Terezinha;Simples;;;;;
Guarabira;Rua Antônio Bezerra;58203-156;Assis Chateaubriand;Simples;;;;;
Guarabira;Rua Antônio Carneiro da Silva;58204-664;Monte das Oliveiras;Simples;;;;;
Guarabira;Rua Antônio Cavalcante de Melo;58203-158;Assis Chateaubriand;Simples;;;;;
Guarabira;Rua Antônio da Cunha Uchoa;58200-066;Centro;Simples;;;;;
Guarabira;Rua Antônio de Freitas Albuquerque;58200-184;Santa Terezinha;Simples;;;;;
Guarabira;Rua Antônio de Freitas Albuquerque Filho;58200-464;Novo;Simples;;;;;
Guarabira;Rua Antônio de Oliveira;58204-674;Monte das Oliveiras;Simples;;;;;
Guarabira;Rua Antônio de Oliveira Moura;58201-560;Osmar de Aquino;Simples;;;;;
Guarabira;Rua Antônio Diogo;58200-412;Novo;Simples;;;;;
Guarabira;Rua Antônio Emiliano dos Santos;58203-299;São José;Simples;;;;;
Guarabira;Rua Antônio Ferreira de Lima;58200-630;Sol Nascente;Simples;;;;;
Guarabira;Rua Antônio Florentino da Costa Miranda;58200-244;Juá;Simples;;;;;
Guarabira;Rua Antônio Francisco dos Santos;58203-668;Residencial Jáder Pimentel;Simples;;;;;
Guarabira;Rua Antônio Gouveia da Silva;58200-444;Novo;Simples;;;;;
Guarabira;Rua Antônio Joaquim da Silva;58201-207;Primavera;Simples;;;;;
Guarabira;Rua Antônio Lemos;58204-712;Cidade Jardim;Simples;;;;;
Guarabira;Rua Antônio Mariano da Silva;58200-448;Novo;Simples;;;;;
Guarabira;Rua Antônio Nery;58201-378;Rosário;Simples;;;;;
Guarabira;Rua Antônio Sobreira;58200-296;Bela Vista;Simples;;;;;
Guarabira;Rua Antônio Victor;58203-230;São José;Simples;;;;;
Guarabira;Rua Aprígio da Costa Espínola;58200-612;Sol Nascente;Simples;;;;;
Guarabira;Rua Argemiro Soares de Souza;58203-448;Nordeste II;Seccionamento;1;199;I;A;
Guarabira;Rua Argemiro Soares de Souza;58203-466;Hidelbrando Matias;Seccionamento;200;9999;F;A;
Guarabira;Rua Ariano Suassuna;58203-014;Clotilde Coutinho;Simples;;;;;
Guarabira;Rua Aristides Soares de Oliveira;58203-132;Antônio de Freitas Araújo;Simples;;;;;
Guarabira;Rua Aristides Vilar;58203-176;Assis Chateaubriand;Simples;;;;;
Guarabira;Rua Arlindo Alves de Souza;58201-419;Areia Branca;Simples;;;;;
Guarabira;Rua Arnold Clementino de Souza;58203-136;Antônio de Freitas Araújo;Simples;;;;;
Guarabira;Rua Arnoud Clementino de Souza;58203-344;Nordeste II;Simples;;;;;
Guarabira;Rua Artur Pontes da Silva;58203-281;São José;Simples;;;;;
Guarabira;Rua Astrogildo Pontes da Silva;58203-034;Clóvis Bezerra;Simples;;;;;
Guarabira;Rua Augusto de Almeida;58200-114;Centro;Simples;;;;;
Guarabira;Rua Augusto de Almeida;58200-406;Novo;Simples;;;;;
Guarabira;Rua Augusto dos Anjos;58203-012;Clotilde Coutinho;Simples;;;;;
Guarabira;Rua Augusto dos Anjos;58203-162;Assis Chateaubriand;Simples;;;;;
Guarabira;Rua Augusto Paulino da Silva;58203-287;São José;Simples;;;;;
Guarabira;Rua Aurea Porpino dos Santos;58200-758;Alto da Boa Vista;Simples;;;;;
Guarabira;Rua Baltazar Mauricio dos Santos;58200-170;Santa Terezinha;Simples;;;;;
Guarabira;Rua Beco de Candeia;58200-044;Centro;Simples;;;;;
Guarabira;Rua Belmira Barbosa de Pontes;58200-440;Novo;Simples;;;;;
Guarabira;Rua Benedito Fernando da Silva;58200-354;Cordeiro;Simples;;;;;
Guarabira;Rua Benjamim Morais Frazao;58203-517;Nordeste I;Simples;;;;;
Guarabira;Rua Bianor Ramos do Amaral;58203-562;Nordeste I;Simples;;;;;
Guarabira;Rua Bila Alverga de Franca;58203-332;Esplanada da Estação;Simples;;;;;
Guarabira;Rua Bráulio Martins;58200-198;Santa Terezinha;Simples;;;;;
Guarabira;Rua Camilo de Holanda;58200-200;Santa Terezinha;Simples;;;;;
Guarabira;Rua Capitão Misael Balbino de Moura;58200-627;Sol Nascente;Simples;;;;;
Guarabira;Rua Carlos Chagas;58203-188;Assis Chateaubriand;Simples;;;;;
Guarabira;Rua Carlos Espinola;58203-493;Nordeste I;Simples;;;;;
Guarabira;Rua Carlos Gomes;58200-078;Centro;Simples;;;;;
Guarabira;Rua Carlos Moura;58201-578;Osmar de Aquino;Simples;;;;;
Guarabira;Rua Carmelia Guedes;58203-408;Nordeste II;Seccionamento;1;308;I;A;
Guarabira;Rua Carmelia Guedes;58203-535;Nordeste I;Seccionamento;309;9999;F;A;
Guarabira;Rua Celina Pinto;58203-490;Nordeste I;Simples;;;;;
Guarabira;Rua Celina Porpino;58204-675;Monte das Oliveiras;Simples;;;;;
Guarabira;Rua CÍcera Maria de Freitas;58201-705;Mutirão;Simples;;;;;
Guarabira;Rua Claudemir Teles Vieira;58201-156;Primavera;Simples;;;;;
Guarabira;Rua Clemente Pereira;58200-084;Centro;Simples;;;;;
Guarabira;Rua Cleodon Coelho;58200-388;Novo;Simples;;;;;
Guarabira;Rua Clotilde Coutinho de Souza;58203-130;Antônio de Freitas Araújo;Simples;;;;;
Guarabira;Rua Colômbia;58204-633;Nações;Simples;;;;;
Guarabira;Rua Cônego Matias Freire;58200-326;Cordeiro;Simples;;;;;
Guarabira;Rua Cônego Vicente Pimentel;58200-010;Centro;Simples;;;;;
Guarabira;Rua Coronel Francisco Dias;58200-235;Juá;Simples;;;;;
